GKA,10,Pacific/Port_Moresby
MAG,10,Pacific/Port_Moresby
HGU,10,Pacific/Port_Moresby
LAE,10,Pacific/Port_Moresby
POM,10,Pacific/Port_Moresby
WWK,10,Pacific/Port_Moresby
UAK,-3,America/Godthab
GOH,-3,America/Godthab
SFJ,-3,America/Godthab
THU,-4,America/Thule
AEY,0,Atlantic/Reykjavik
EGS,0,Atlantic/Reykjavik
HFN,0,Atlantic/Reykjavik
HZK,0,Atlantic/Reykjavik
IFJ,0,Atlantic/Reykjavik
KEF,0,Atlantic/Reykjavik
PFJ,0,Atlantic/Reykjavik
RKV,0,Atlantic/Reykjavik
SIJ,0,Atlantic/Reykjavik
VEY,0,Atlantic/Reykjavik
YAM,-5,America/Toronto
YAV,-6,America/Winnipeg
YAW,-4,America/Halifax
YAY,-3.5,America/St_Johns
YAZ,-8,America/Vancouver
YBB,-7,America/Edmonton
YBC,-5,America/Toronto
YBG,-5,America/Toronto
YBK,-6,America/Winnipeg
YBL,-8,America/Vancouver
YBR,-6,America/Winnipeg
YCB,-7,America/Edmonton
YCD,-8,America/Vancouver
YCG,-8,America/Vancouver
YCH,-4,America/Halifax
YCL,-4,America/Halifax
YCO,-7,America/Edmonton
YCT,-7,America/Edmonton
YCW,-8,America/Vancouver
YCY,-5,America/Toronto
YZS,-5,America/Coral_Harbour
YDA,-8,America/Vancouver
YDB,-8,America/Vancouver
YDC,-8,America/Vancouver
YDF,-3.5,America/St_Johns
YDL,-8,America/Vancouver
YDN,-6,America/Winnipeg
YDQ,-7,America/Dawson_Creek
YEG,-7,America/Edmonton
YEK,-6,America/Winnipeg
YEN,-6,America/Regina
YET,-7,America/Edmonton
YEU,-6,America/Winnipeg
YEV,-7,America/Edmonton
YFB,-5,America/Toronto
YFC,-4,America/Halifax
YFO,-6,America/Winnipeg
YFR,-7,America/Edmonton
YFS,-7,America/Edmonton
YGK,-5,America/Toronto
YGL,-5,America/Toronto
YGP,-5,America/Toronto
YGQ,-5,America/Toronto
YGR,-5,America/Toronto
YHB,-6,America/Regina
YHD,-6,America/Winnipeg
YHI,-7,America/Edmonton
YHK,-7,America/Edmonton
YHM,-5,America/Toronto
YHU,-5,America/Toronto
YHY,-7,America/Edmonton
YHZ,-4,America/Halifax
YIB,-5,America/Coral_Harbour
YIO,-5,America/Toronto
YJN,-5,America/Toronto
YJT,-3.5,America/St_Johns
YKA,-8,America/Vancouver
YKF,-5,America/Toronto
YKL,-5,America/Toronto
YKY,-6,America/Regina
YKZ,-5,America/Toronto
YLD,-5,America/Toronto
YLJ,-6,America/Regina
YLL,-7,America/Edmonton
YLT,-5,America/Toronto
YLW,-8,America/Vancouver
YMA,-8,America/Vancouver
YMJ,-6,America/Regina
YMM,-7,America/Edmonton
YMO,-5,America/Toronto
YMW,-5,America/Toronto
YMX,-5,America/Toronto
YNA,-5,America/Toronto
YND,-5,America/Toronto
YNM,-5,America/Toronto
YOC,-8,America/Vancouver
YOD,-7,America/Edmonton
YOJ,-7,America/Edmonton
YOW,-5,America/Toronto
YPA,-6,America/Regina
YPE,-7,America/Edmonton
YPG,-6,America/Winnipeg
YPL,-5,America/Coral_Harbour
YPN,-5,America/Toronto
YPQ,-5,America/Toronto
YPR,-8,America/Vancouver
YPY,-7,America/Edmonton
YQA,-5,America/Toronto
YQB,-5,America/Toronto
YQF,-7,America/Edmonton
YQG,-5,America/Toronto
YQH,-8,America/Vancouver
YQK,-6,America/Winnipeg
YQL,-7,America/Edmonton
YQM,-4,America/Halifax
YQQ,-8,America/Vancouver
YQR,-6,America/Regina
YQT,-5,America/Toronto
YQU,-7,America/Edmonton
YQV,-6,America/Regina
YQW,-6,America/Regina
YQX,-3.5,America/St_Johns
YQY,-4,America/Halifax
YQZ,-8,America/Vancouver
YRB,-6,America/Winnipeg
YRI,-5,America/Toronto
YRJ,-5,America/Toronto
YRM,-7,America/Edmonton
YRT,-6,America/Winnipeg
YSB,-5,America/Toronto
YSC,-5,America/Toronto
YSJ,-4,America/Halifax
YSM,-7,America/Edmonton
YSR,-5,America/Toronto
YSU,-4,America/Halifax
YSY,-7,America/Edmonton
YTE,-5,America/Toronto
YTH,-6,America/Winnipeg
YTR,-5,America/Toronto
YTS,-5,America/Toronto
YTZ,-5,America/Toronto
YUB,-7,America/Edmonton
YUL,-5,America/Toronto
YUT,-6,America/Winnipeg
YUX,-5,America/Toronto
YUY,-5,America/Toronto
YVC,-6,America/Regina
YVG,-7,America/Edmonton
YVM,-5,America/Toronto
YVO,-5,America/Toronto
YVP,-5,America/Toronto
YVQ,-7,America/Edmonton
YVR,-8,America/Vancouver
YVT,-6,America/Regina
YVV,-5,America/Toronto
YWA,-5,America/Toronto
YWG,-6,America/Winnipeg
YWK,-4,America/Halifax
YWL,-8,America/Vancouver
YWY,-7,America/Edmonton
YXC,-7,America/Edmonton
YXD,-7,America/Edmonton
YXE,-6,America/Regina
YXH,-7,America/Edmonton
YXJ,-7,America/Dawson_Creek
YXL,-6,America/Winnipeg
YXP,-5,America/Toronto
YXR,-5,America/Toronto
YXS,-8,America/Vancouver
YXT,-8,America/Vancouver
YXU,-5,America/Toronto
YXX,-8,America/Vancouver
YXY,-8,America/Vancouver
YYB,-5,America/Toronto
YYC,-7,America/Edmonton
YYD,-8,America/Vancouver
YYE,-8,America/Vancouver
YYF,-8,America/Vancouver
YYG,-4,America/Halifax
YYH,-7,America/Edmonton
YYJ,-8,America/Vancouver
YYL,-6,America/Winnipeg
YYN,-6,America/Regina
YYQ,-6,America/Winnipeg
YYR,-4,America/Halifax
YYT,-3.5,America/St_Johns
YYU,-5,America/Toronto
YYW,-5,America/Toronto
YYY,-5,America/Toronto
YYZ,-5,America/Toronto
YZD,-5,America/Toronto
YZE,-5,America/Toronto
YZF,-7,America/Edmonton
YZH,-7,America/Edmonton
YZP,-8,America/Vancouver
YZR,-5,America/Toronto
YZT,-8,America/Vancouver
YZU,-7,America/Edmonton
YZV,-5,America/Toronto
YZW,-8,America/Vancouver
YZX,-4,America/Halifax
ZFA,-8,America/Vancouver
ZFM,-7,America/Edmonton
BJA,1,Africa/Algiers
ALG,1,Africa/Algiers
DJG,1,Africa/Algiers
QFD,1,Africa/Algiers
VVZ,1,Africa/Algiers
TMR,1,Africa/Algiers
GJL,1,Africa/Algiers
AAE,1,Africa/Algiers
CZL,1,Africa/Algiers
TEE,1,Africa/Algiers
HRM,1,Africa/Algiers
TID,1,Africa/Algiers
TIN,1,Africa/Algiers
QAS,1,Africa/Algiers
TAF,1,Africa/Algiers
TLM,1,Africa/Algiers
ORN,1,Africa/Algiers
MUW,1,Africa/Algiers
AZR,1,Africa/Algiers
BSK,1,Africa/Algiers
ELG,1,Africa/Algiers
GHA,1,Africa/Algiers
HME,1,Africa/Algiers
INZ,1,Africa/Algiers
TGR,1,Africa/Algiers
LOO,1,Africa/Algiers
TMX,1,Africa/Algiers
OGX,1,Africa/Algiers
IAM,1,Africa/Algiers
COO,1,Africa/Porto-Novo
OUA,0,Africa/Ouagadougou
BOY,0,Africa/Ouagadougou
ACC,0,Africa/Accra
TML,0,Africa/Accra
NYI,0,Africa/Accra
TKD,0,Africa/Accra
ABJ,0,Africa/Abidjan
BYK,0,Africa/Abidjan
DJO,0,Africa/Abidjan
HGO,0,Africa/Abidjan
MJC,0,Africa/Abidjan
SPY,0,Africa/Abidjan
ASK,0,Africa/Abidjan
ABV,1,Africa/Lagos
AKR,1,Africa/Lagos
BNI,1,Africa/Lagos
CBQ,1,Africa/Lagos
ENU,1,Africa/Lagos
QUS,1,Africa/Lagos
IBA,1,Africa/Lagos
ILR,1,Africa/Lagos
JOS,1,Africa/Lagos
KAD,1,Africa/Lagos
KAN,1,Africa/Lagos
MIU,1,Africa/Lagos
MDI,1,Africa/Lagos
LOS,1,Africa/Lagos
MXJ,1,Africa/Lagos
PHC,1,Africa/Lagos
SKO,1,Africa/Lagos
YOL,1,Africa/Lagos
ZAR,1,Africa/Lagos
MFQ,1,Africa/Niamey
NIM,1,Africa/Niamey
THZ,1,Africa/Niamey
AJY,1,Africa/Niamey
ZND,1,Africa/Niamey
MIR,1,Africa/Tunis
TUN,1,Africa/Tunis
GAF,1,Africa/Tunis
GAE,1,Africa/Tunis
DJE,1,Africa/Tunis
EBM,1,Africa/Tunis
SFA,1,Africa/Tunis
TOE,1,Africa/Tunis
LRL,0,Africa/Lome
LFW,0,Africa/Lome
ANR,1,Europe/Brussels
BRU,1,Europe/Brussels
CRL,1,Europe/Brussels
QKT,1,Europe/Brussels
LGG,1,Europe/Brussels
OST,1,Europe/Brussels
BBJ,1,Europe/Berlin
AOC,1,Europe/Berlin
4I7,-5,America/New_York
BBH,1,Europe/Berlin
SXF,1,Europe/Berlin
DRS,1,Europe/Berlin
ERF,1,Europe/Berlin
FRA,1,Europe/Berlin
FMO,1,Europe/Berlin
HAM,1,Europe/Berlin
THF,1,Europe/Berlin
CGN,1,Europe/Berlin
DUS,1,Europe/Berlin
MUC,1,Europe/Berlin
NUE,1,Europe/Berlin
LEJ,1,Europe/Berlin
SCN,1,Europe/Berlin
STR,1,Europe/Berlin
TXL,1,Europe/Berlin
HAJ,1,Europe/Berlin
BRE,1,Europe/Berlin
HHN,1,Europe/Berlin
MHG,1,Europe/Berlin
XFW,1,Europe/Berlin
KEL,1,Europe/Berlin
LBC,1,Europe/Berlin
ZCA,1,Europe/Berlin
ESS,1,Europe/Berlin
MGL,1,Europe/Berlin
PAD,1,Europe/Berlin
DTM,1,Europe/Berlin
AGB,1,Europe/Berlin
OBF,1,Europe/Berlin
FDH,1,Europe/Berlin
SZW,1,Europe/Berlin
ZSN,1,Europe/Berlin
BYU,1,Europe/Berlin
HOQ,1,Europe/Berlin
ZNV,1,Europe/Berlin
ZQF,1,Europe/Berlin
ZQC,1,Europe/Berlin
ZQL,1,Europe/Berlin
BWE,1,Europe/Berlin
KSF,1,Europe/Berlin
BRV,1,Europe/Berlin
EME,1,Europe/Berlin
WVN,1,Europe/Berlin
BMK,1,Europe/Berlin
NRD,1,Europe/Berlin
FLF,1,Europe/Berlin
GWT,1,Europe/Berlin
KDL,2,Europe/Tallinn
URE,2,Europe/Tallinn
EPU,2,Europe/Tallinn
TLL,2,Europe/Tallinn
