GKA,Pacific/Port_Moresby
MAG,Pacific/Port_Moresby
HGU,Pacific/Port_Moresby
LAE,Pacific/Port_Moresby
POM,Pacific/Port_Moresby
WWK,Pacific/Port_Moresby
UAK,America/Godthab
GOH,America/Godthab
SFJ,America/Godthab
THU,America/Thule
AEY,Atlantic/Reykjavik
EGS,Atlantic/Reykjavik
HFN,Atlantic/Reykjavik
HZK,Atlantic/Reykjavik
IFJ,Atlantic/Reykjavik
KEF,Atlantic/Reykjavik
PFJ,Atlantic/Reykjavik
RKV,Atlantic/Reykjavik
SIJ,Atlantic/Reykjavik
VEY,Atlantic/Reykjavik
YAM,America/Toronto
YAV,America/Winnipeg
YAW,America/Halifax
YAY,America/St_Johns
YAZ,America/Vancouver
YBB,America/Edmonton
YBC,America/Toronto
YBG,America/Toronto
YBK,America/Winnipeg
YBL,America/Vancouver
YBR,America/Winnipeg
YCB,America/Edmonton
YCD,America/Vancouver
YCG,America/Vancouver
YCH,America/Halifax
YCL,America/Halifax
YCO,America/Edmonton
YCT,America/Edmonton
YCW,America/Vancouver
YCY,America/Toronto
YZS,America/Coral_Harbour
YDA,America/Vancouver
YDB,America/Vancouver
YDC,America/Vancouver
YDF,America/St_Johns
YDL,America/Vancouver
YDN,America/Winnipeg
YDQ,America/Dawson_Creek
YEG,America/Edmonton
YEK,America/Winnipeg
YEN,America/Regina
YET,America/Edmonton
YEU,America/Winnipeg
YEV,America/Edmonton
YFB,America/Toronto
YFC,America/Halifax
YFO,America/Winnipeg
YFR,America/Edmonton
YFS,America/Edmonton
YGK,America/Toronto
YGL,America/Toronto
YGP,America/Toronto
YGQ,America/Toronto
YGR,America/Toronto
YHB,America/Regina
YHD,America/Winnipeg
YHI,America/Edmonton
YHK,America/Edmonton
YHM,America/Toronto
YHU,America/Toronto
YHY,America/Edmonton
YHZ,America/Halifax
YIB,America/Coral_Harbour
YIO,America/Toronto
YJN,America/Toronto
YJT,America/St_Johns
YKA,America/Vancouver
YKF,America/Toronto
YKL,America/Toronto
YKY,America/Regina
YKZ,America/Toronto
YLD,America/Toronto
YLJ,America/Regina
YLL,America/Edmonton
YLT,America/Toronto
YLW,America/Vancouver
YMA,America/Vancouver
YMJ,America/Regina
YMM,America/Edmonton
YMO,America/Toronto
YMW,America/Toronto
YMX,America/Toronto
YNA,America/Toronto
YND,America/Toronto
YNM,America/Toronto
YOC,America/Vancouver
YOD,America/Edmonton
YOJ,America/Edmonton
YOW,America/Toronto
